,0
0,fuel tank
1,lightning
2,fuel farm
3,sb 612
4,sb 1503
5,heartbeat bill
6,abortion bill
7,sb 8
8,app
9,flip phone
10,new phone
11,smartphone
12,pixel
13,phone
14,hardware
15,nothing phone
16,nothing
17,astro
18,astro slide
19,vaccination
20,911
21,discrimination
22,alqaeda
23,head coach
24,brian flores
25,sept 11
26,american football
27,rooney rule
28,osama bin laden
29,sept 11 attack
30,ayman alzawahiri
31,vasectomy
32,trump red wave
33,trump election fraud
34,red mirage
35,red wave
36,owner lockout
37,collective bargaining agreement
38,baseball
39,robot umpire
40,mlb owner
41,jose iglesias
42,cba negotiation
43,1995 strike
44,mlb team
45,major league baseball player association
46,rafael devers
47,mlbpa
48,student
49,juiced ball
50,shohei ohtani
51,commissioner
52,miah cerrillo
53,survivor
54,house hearing
55,1994 strike
56,imvanex
57,jynneos
58,tpoxx
59,acam2000
60,greg abbott
61,dan patrick
62,congressional hearing gun violence
63,21 killed
64,gun culture
65,gun proliferation
66,witness
67,facebook
68,plane masking
69,covid 19
70,train
71,flight attendant
72,southwest
73,federal mask mandate
74,public transportation
75,antimask
76,airplane
77,rustenburg
78,wage increase
79,international worker day
80,worker day
81,portugal
82,lisbon
83,irs
84,mine worker
85,pension increase
86,teacher union
87,paris protest
88,bombing
89,may day
90,statue liberty
91,forced migration
92,displacement
93,ny
94,maternal health
95,ngo
96,volodymyr zelenskyy
97,supreme court nomination
98,art world
99,exhibition
100,major league baseball
101,mlb
102,lockout
103,max scherzer
104,rob manfred
105,tony clark
106,juan soto
107,mariana alfaro
108,assault weapon
109,assault rifle
110,travis andrew
111,face mask
112,2022 tax
113,cashap
114,natalie compton
115,deli meat
116,racist violence
117,bologna
118,ruth whitfield
119,skin
120,bologna face mask
121,oscar mayer
122,skincare
123,allyson chiu
124,ben crump
125,vemno
126,wellness
127,fenit nirappil
128,paypal
129,humanitarian corridor
130,russian president putin
131,pregnant
132,march
133,sumy evacuation
134,russian assault
135,vaccine hesitancy
136,draftee
137,drafted soldier
138,happy kid
139,texas childrens hospital
140,march life
141,reservist
142,covid19 vaccine
143,conscript
144,orphan
145,unvaccinated
146,2 million
147,abbott test
148,nyc mayor
149,rapid home test
150,coronavirus test
151,covid test
152,rapid covid test
153,leaked ruling
154,roe versus wade
155,cuba
156,maternal mortality
157,daniel snyder
158,prenatal health
159,ectopic pregnancy
160,marfan syndrome
161,biden gun address
162,richard durbin
163,ohio primary
164,health mother
165,workplace misconduct
166,vance
167,biden gun legislation
168,biden gun speech
169,fetal mortality
170,oversight committee
171,infant mortality
172,life mother
173,dianne feinstein
174,sexual misconduct
175,snowboardcross
176,olympics opening ceremony
177,dinigeer yilamujuang
178,2022 beijing olympics
179,karen chen
180,lindsey jacobellis
181,ailing gu
182,wu dajing
183,olympian
184,nathan chen
185,gao tingyu
186,olympic torch
187,snowboarding
188,winter sport
189,missile strike
190,curling
191,damage
192,tax season
193,nato member
